index,SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Active_case
155534,155535,11/15/2020,Unknown,Afghanistan,2020/11/16 05:25,43240,1617,35092,6531
155535,155536,11/15/2020,Unknown,Albania,2020/11/16 05:25,27830,623,12889,14318
155536,155537,11/15/2020,Unknown,Algeria,2020/11/16 05:25,67679,2154,44633,20892
155537,155538,11/15/2020,Unknown,Andorra,2020/11/16 05:25,5872,76,4747,1049
155538,155539,11/15/2020,Unknown,Angola,2020/11/16 05:25,13451,322,6444,6685
155539,155540,11/15/2020,Unknown,Antigua and Barbuda,2020/11/16 05:25,134,4,127,3
155540,155541,11/15/2020,Unknown,Argentina,2020/11/16 05:25,1310491,35436,1129102,145953
155541,155542,11/15/2020,Unknown,Armenia,2020/11/16 05:25,117337,1763,74984,40590
155542,155543,11/15/2020,Unknown,Austria,2020/11/16 05:25,203956,1829,125674,76453
155543,155544,11/15/2020,Unknown,Azerbaijan,2020/11/16 05:25,75688,967,55150,19571
155544,155545,11/15/2020,Unknown,Bahamas,2020/11/16 05:25,7186,156,5323,1707
155545,155546,11/15/2020,Unknown,Bahrain,2020/11/16 05:25,84703,334,82469,1900
155546,155547,11/15/2020,Unknown,Bangladesh,2020/11/16 05:25,432333,6194,349542,76597
155547,155548,11/15/2020,Unknown,Barbados,2020/11/16 05:25,250,7,238,5
155548,155549,11/15/2020,Unknown,Belarus,2020/11/16 05:25,114185,1046,95843,17296
155549,155550,11/15/2020,Unknown,Belize,2020/11/16 05:25,4861,90,2598,2173
155550,155551,11/15/2020,Unknown,Benin,2020/11/16 05:25,2844,43,2515,286
155551,155552,11/15/2020,Unknown,Bhutan,2020/11/16 05:25,375,0,355,20
155552,155553,11/15/2020,Unknown,Bolivia,2020/11/16 05:25,143246,8849,117137,17260
155553,155554,11/15/2020,Unknown,Bosnia and Herzegovina,2020/11/16 05:25,71956,1889,35606,34461
155554,155555,11/15/2020,Unknown,Botswana,2020/11/16 05:25,8225,27,5559,2639
155555,155556,11/15/2020,Unknown,Brunei,2020/11/16 05:25,148,3,145,0
155556,155557,11/15/2020,Unknown,Bulgaria,2020/11/16 05:25,98251,2130,29375,66746
155557,155558,11/15/2020,Unknown,Burkina Faso,2020/11/16 05:25,2641,68,2445,128
155558,155559,11/15/2020,Unknown,Burma,2020/11/16 05:25,68994,1577,52351,15066
155559,155560,11/15/2020,Unknown,Burundi,2020/11/16 05:25,628,1,549,78
155560,155561,11/15/2020,Unknown,Cabo Verde,2020/11/16 05:25,9822,103,9220,499
155561,155562,11/15/2020,Unknown,Cambodia,2020/11/16 05:25,302,0,289,13
155562,155563,11/15/2020,Unknown,Cameroon,2020/11/16 05:25,22692,433,21510,749
155563,155564,11/15/2020,Unknown,Central African Republic,2020/11/16 05:25,4900,63,1924,2913
155564,155565,11/15/2020,Unknown,Chad,2020/11/16 05:25,1597,101,1443,53
155565,155566,11/15/2020,Unknown,Comoros,2020/11/16 05:25,579,7,549,23
155566,155567,11/15/2020,Unknown,Congo (Brazzaville),2020/11/16 05:25,5515,92,3887,1536
155567,155568,11/15/2020,Unknown,Congo (Kinshasa),2020/11/16 05:25,11760,319,11086,355
155568,155569,11/15/2020,Unknown,Costa Rica,2020/11/16 05:25,123223,1546,75341,46336
155569,155570,11/15/2020,Unknown,Croatia,2020/11/16 05:25,84206,1049,66231,16926
155570,155571,11/15/2020,Unknown,Cuba,2020/11/16 05:25,7590,131,7060,399
155571,155572,11/15/2020,Unknown,Cyprus,2020/11/16 05:25,7178,39,2021,5118
155572,155573,11/15/2020,Unknown,Czech Republic,2020/11/16 05:25,460116,6208,327306,126602
155573,155574,11/15/2020,Unknown,Denmark,2020/11/16 05:25,62136,760,47747,13629
155574,155575,11/15/2020,Unknown,Diamond Princess,2020/11/16 05:25,712,13,659,40
155575,155576,11/15/2020,Unknown,Djibouti,2020/11/16 05:25,5649,61,5525,63
155576,155577,11/15/2020,Unknown,Dominica,2020/11/16 05:25,68,0,41,27
155577,155578,11/15/2020,Unknown,Dominican Republic,2020/11/16 05:25,133724,2285,109981,21458
155578,155579,11/15/2020,Unknown,Ecuador,2020/11/16 05:25,180295,13008,160639,6648
155579,155580,11/15/2020,Unknown,Egypt,2020/11/16 05:25,110767,6453,101046,3268
155580,155581,11/15/2020,Unknown,El Salvador,2020/11/16 05:25,36358,1044,32721,2593
155581,155582,11/15/2020,Unknown,Equatorial Guinea,2020/11/16 05:25,5104,85,4973,46
155582,155583,11/15/2020,Unknown,Eritrea,2020/11/16 05:25,493,0,444,49
155583,155584,11/15/2020,Unknown,Estonia,2020/11/16 05:25,7637,81,4741,2815
155584,155585,11/15/2020,Unknown,Eswatini,2020/11/16 05:25,6095,119,5779,197
155585,155586,11/15/2020,Unknown,Ethiopia,2020/11/16 05:25,102720,1569,63866,37285
155586,155587,11/15/2020,Unknown,Fiji,2020/11/16 05:25,35,2,32,1
155587,155588,11/15/2020,Unknown,Finland,2020/11/16 05:25,19315,369,14000,4946
155588,155589,11/15/2020,Unknown,France,2020/11/16 05:25,1867721,42215,113017,1712489
155589,155590,11/15/2020,Unknown,Gabon,2020/11/16 05:25,9062,58,8939,65
155590,155591,11/15/2020,Unknown,Gambia,2020/11/16 05:25,3702,122,3571,9
155591,155592,11/15/2020,Unknown,Georgia,2020/11/16 05:25,79678,703,62061,16914
155592,155593,11/15/2020,Unknown,Ghana,2020/11/16 05:25,50123,322,48328,1473
155593,155594,11/15/2020,Unknown,Greece,2020/11/16 05:25,74205,1106,23074,50025
155594,155595,11/15/2020,Unknown,Grenada,2020/11/16 05:25,32,0,27,5
155595,155596,11/15/2020,Unknown,Guatemala,2020/11/16 05:25,114885,3932,104438,6515
155596,155597,11/15/2020,Unknown,Guinea,2020/11/16 05:25,12611,75,11151,1385
155597,155598,11/15/2020,Unknown,Guinea-Bissau,2020/11/16 05:25,2419,43,2255,121
155598,155599,11/15/2020,Unknown,Guyana,2020/11/16 05:25,4823,139,3777,907
155599,155600,11/15/2020,Unknown,Haiti,2020/11/16 05:25,9168,232,7701,1235
155600,155601,11/15/2020,Unknown,Holy See,2020/11/16 05:25,27,0,15,12
155601,155602,11/15/2020,Unknown,Honduras,2020/11/16 05:25,103102,2823,44778,55501
155602,155603,11/15/2020,Unknown,Hungary,2020/11/16 05:25,140961,3097,31599,106265
155603,155604,11/15/2020,Unknown,Iceland,2020/11/16 05:25,5189,25,4813,351
155604,155605,11/15/2020,Unknown,Indonesia,2020/11/16 05:25,467113,15211,391991,59911
155605,155606,11/15/2020,Unknown,Iran,2020/11/16 05:25,762068,41493,558818,161757
155606,155607,11/15/2020,Unknown,Iraq,2020/11/16 05:25,519152,11670,447039,60443
155607,155608,11/15/2020,Unknown,Ireland,2020/11/16 05:25,67903,1979,23364,42560
155608,155609,11/15/2020,Unknown,Israel,2020/11/16 05:25,323741,2732,313380,7629
155609,155610,11/15/2020,Unknown,Ivory Coast,2020/11/16 05:25,20976,128,20647,201
155610,155611,11/15/2020,Unknown,Jamaica,2020/11/16 05:25,9884,231,5248,4405
155611,155612,11/15/2020,Unknown,Jordan,2020/11/16 05:25,143678,1772,10067,131839
155612,155613,11/15/2020,Unknown,Kazakhstan,2020/11/16 05:25,121051,1899,109944,9208
155613,155614,11/15/2020,Unknown,Kenya,2020/11/16 05:25,70245,1269,45766,23210
155614,155615,11/15/2020,Unknown,Kosovo,2020/11/16 05:25,29117,822,17305,10990
155615,155616,11/15/2020,Unknown,Kuwait,2020/11/16 05:25,136840,838,127585,8417
155616,155617,11/15/2020,Unknown,Kyrgyzstan,2020/11/16 05:25,66983,1203,57760,8020
155617,155618,11/15/2020,Unknown,Laos,2020/11/16 05:25,24,0,23,1
155618,155619,11/15/2020,Unknown,Latvia,2020/11/16 05:25,10547,123,1515,8909
155619,155620,11/15/2020,Unknown,Lebanon,2020/11/16 05:25,105430,817,60416,44197
155620,155621,11/15/2020,Unknown,Lesotho,2020/11/16 05:25,2041,44,1056,941
155621,155622,11/15/2020,Unknown,Liberia,2020/11/16 05:25,1507,82,1314,111
155622,155623,11/15/2020,Unknown,Libya,2020/11/16 05:25,73602,1017,44133,28452
155623,155624,11/15/2020,Unknown,Liechtenstein,2020/11/16 05:25,985,5,682,298
155624,155625,11/15/2020,Unknown,Lithuania,2020/11/16 05:25,34758,277,7753,26728
155625,155626,11/15/2020,Unknown,Luxembourg,2020/11/16 05:25,25931,219,15428,10284
155626,155627,11/15/2020,Unknown,MS Zaandam,2020/11/16 05:25,9,2,0,7
155627,155628,11/15/2020,Unknown,Madagascar,2020/11/16 05:25,17310,250,16592,468
155628,155629,11/15/2020,Unknown,Malawi,2020/11/16 05:25,5965,185,5399,381
155629,155630,11/15/2020,Unknown,Malaysia,2020/11/16 05:25,47417,309,34785,12323
155630,155631,11/15/2020,Unknown,Maldives,2020/11/16 05:25,12204,43,11289,872
155631,155632,11/15/2020,Unknown,Mali,2020/11/16 05:25,3900,141,2949,810
155632,155633,11/15/2020,Unknown,Malta,2020/11/16 05:25,8034,97,5765,2172
155633,155634,11/15/2020,Unknown,Marshall Islands,2020/11/16 05:25,1,0,1,0
155634,155635,11/15/2020,Unknown,Mauritania,2020/11/16 05:25,7952,165,7524,263
155635,155636,11/15/2020,Unknown,Mauritius,2020/11/16 05:25,478,10,431,37
155636,155637,11/15/2020,Unknown,Moldova,2020/11/16 05:25,89279,2019,70812,16448
155637,155638,11/15/2020,Unknown,Monaco,2020/11/16 05:25,548,2,450,96
155638,155639,11/15/2020,Unknown,Mongolia,2020/11/16 05:25,431,0,328,103
155639,155640,11/15/2020,Unknown,Montenegro,2020/11/16 05:25,27177,391,17387,9399
155640,155641,11/15/2020,Unknown,Morocco,2020/11/16 05:25,293177,4779,238598,49800
155641,155642,11/15/2020,Unknown,Mozambique,2020/11/16 05:25,14448,113,12505,1830
155642,155643,11/15/2020,Unknown,Namibia,2020/11/16 05:25,13508,138,12680,690
155643,155644,11/15/2020,Unknown,Nepal,2020/11/16 05:25,209776,1221,173430,35125
155644,155645,11/15/2020,Unknown,New Zealand,2020/11/16 05:25,2001,25,1918,58
155645,155646,11/15/2020,Unknown,Nicaragua,2020/11/16 05:25,5661,158,4225,1278
155646,155647,11/15/2020,Unknown,Niger,2020/11/16 05:25,1307,70,1148,89
155647,155648,11/15/2020,Unknown,Nigeria,2020/11/16 05:25,65148,1163,61073,2912
155648,155649,11/15/2020,Unknown,North Macedonia,2020/11/16 05:25,47050,1305,27364,18381
155649,155650,11/15/2020,Unknown,Norway,2020/11/16 05:25,28434,294,11863,16277
155650,155651,11/15/2020,Unknown,Oman,2020/11/16 05:25,120389,1338,111096,7955
155651,155652,11/15/2020,Unknown,Panama,2020/11/16 05:25,146653,2873,125370,18410
155652,155653,11/15/2020,Unknown,Papua New Guinea,2020/11/16 05:25,602,7,586,9
155653,155654,11/15/2020,Unknown,Paraguay,2020/11/16 05:25,71574,1587,51375,18612
155654,155655,11/15/2020,Unknown,Philippines,2020/11/16 05:25,407838,7832,374329,25677
155655,155656,11/15/2020,Unknown,Poland,2020/11/16 05:25,712972,10348,294783,407841
155656,155657,11/15/2020,Unknown,Portugal,2020/11/16 05:25,217301,3381,125066,88854
155657,155658,11/15/2020,Unknown,Qatar,2020/11/16 05:25,135785,234,132784,2767
155658,155659,11/15/2020,Unknown,Romania,2020/11/16 05:25,360281,8926,243832,107523
155659,155660,11/15/2020,Unknown,Rwanda,2020/11/16 05:25,5455,45,4995,415
155660,155661,11/15/2020,Unknown,Saint Kitts and Nevis,2020/11/16 05:25,19,0,19,0
155661,155662,11/15/2020,Unknown,Saint Lucia,2020/11/16 05:25,162,2,46,114
155662,155663,11/15/2020,Unknown,Saint Vincent and the Grenadines,2020/11/16 05:25,78,0,77,1
155663,155664,11/15/2020,Unknown,San Marino,2020/11/16 05:25,1253,42,888,323
155664,155665,11/15/2020,Unknown,Sao Tome and Principe,2020/11/16 05:25,965,16,917,32
155665,155666,11/15/2020,Unknown,Saudi Arabia,2020/11/16 05:25,353255,5657,340304,7294
155666,155667,11/15/2020,Unknown,Senegal,2020/11/16 05:25,15793,328,15416,49
155667,155668,11/15/2020,Unknown,Serbia,2020/11/16 05:25,84568,1009,0,83559
155668,155669,11/15/2020,Unknown,Seychelles,2020/11/16 05:25,160,0,157,3
155669,155670,11/15/2020,Unknown,Sierra Leone,2020/11/16 05:25,2391,74,1820,497
155670,155671,11/15/2020,Unknown,Singapore,2020/11/16 05:25,58119,28,58029,62
155671,155672,11/15/2020,Unknown,Slovakia,2020/11/16 05:25,86767,510,30519,55738
155672,155673,11/15/2020,Unknown,Slovenia,2020/11/16 05:25,55042,797,34864,19381
155673,155674,11/15/2020,Unknown,Solomon Islands,2020/11/16 05:25,16,0,5,11
155674,155675,11/15/2020,Unknown,Somalia,2020/11/16 05:25,4301,107,3330,864
155675,155676,11/15/2020,Unknown,South Africa,2020/11/16 05:25,751024,20241,693467,37316
155676,155677,11/15/2020,Unknown,South Korea,2020/11/16 05:25,28769,494,25759,2516
155677,155678,11/15/2020,Unknown,South Sudan,2020/11/16 05:25,3003,59,1290,1654
155678,155679,11/15/2020,Unknown,Sri Lanka,2020/11/16 05:25,17287,58,11495,5734
155679,155680,11/15/2020,Unknown,Sudan,2020/11/16 05:25,14626,1116,9571,3939
155680,155681,11/15/2020,Unknown,Suriname,2020/11/16 05:25,5274,114,5148,12
155681,155682,11/15/2020,Unknown,Switzerland,2020/11/16 05:25,257135,3369,141000,112766
155682,155683,11/15/2020,Unknown,Syria,2020/11/16 05:25,6684,345,2714,3625
155683,155684,11/15/2020,Unknown,Taiwan,2020/11/16 05:25,602,7,536,59
155684,155685,11/15/2020,Unknown,Tajikistan,2020/11/16 05:25,11610,85,10973,552
155685,155686,11/15/2020,Unknown,Tanzania,2020/11/16 05:25,509,21,183,305
155686,155687,11/15/2020,Unknown,Thailand,2020/11/16 05:25,3875,60,3721,94
155687,155688,11/15/2020,Unknown,Timor-Leste,2020/11/16 05:25,30,0,30,0
155688,155689,11/15/2020,Unknown,Togo,2020/11/16 05:25,2675,61,1920,694
155689,155690,11/15/2020,Unknown,Trinidad and Tobago,2020/11/16 05:25,6080,112,5402,566
155690,155691,11/15/2020,Unknown,Tunisia,2020/11/16 05:25,80404,2345,54362,23697
155691,155692,11/15/2020,Unknown,Turkey,2020/11/16 05:25,414278,11507,353663,49108
155692,155693,11/15/2020,Unknown,Uganda,2020/11/16 05:25,16020,145,8038,7837
155693,155694,11/15/2020,Unknown,United Arab Emirates,2020/11/16 05:25,150345,530,143252,6563
155694,155695,11/15/2020,Unknown,Uruguay,2020/11/16 05:25,4030,65,3233,732
155695,155696,11/15/2020,Unknown,Uzbekistan,2020/11/16 05:25,70243,598,67526,2119
155696,155697,11/15/2020,Unknown,Vanuatu,2020/11/16 05:25,1,0,0,1
155697,155698,11/15/2020,Unknown,Venezuela,2020/11/16 05:25,97352,851,92373,4128
155698,155699,11/15/2020,Unknown,Vietnam,2020/11/16 05:25,1281,35,1103,143
155699,155700,11/15/2020,Unknown,West Bank and Gaza,2020/11/16 05:25,63031,565,54346,8120
155700,155701,11/15/2020,Unknown,Western Sahara,2020/11/16 05:25,10,1,8,1
155701,155702,11/15/2020,Unknown,Yemen,2020/11/16 05:25,2072,605,1394,73
155702,155703,11/15/2020,Unknown,Zambia,2020/11/16 05:25,17123,353,16137,633
155703,155704,11/15/2020,Unknown,Zimbabwe,2020/11/16 05:25,8829,257,8096,476
155704,155705,11/15/2020,Abruzzo,Italy,2020/11/16 05:25,19182,679,5469,13034
155705,155706,11/15/2020,Acre,Brazil,2020/11/16 05:25,33156,708,29425,3023
155706,155707,11/15/2020,Adygea Republic,Russia,2020/11/16 05:25,6828,58,5565,1205
155707,155708,11/15/2020,Aguascalientes,Mexico,2020/11/16 05:25,11225,951,0,10274
155708,155709,11/15/2020,Aichi,Japan,2020/11/16 05:25,7712,96,6327,1289
155709,155710,11/15/2020,Akita,Japan,2020/11/16 05:25,73,0,65,8
155710,155711,11/15/2020,Alabama,US,2020/11/16 05:25,217822,3248,0,214574
155711,155712,11/15/2020,Alagoas,Brazil,2020/11/16 05:25,92596,2295,89139,1162
155712,155713,11/15/2020,Alaska,US,2020/11/16 05:25,23814,98,0,23716
155713,155714,11/15/2020,Alberta,Canada,2020/11/16 05:25,39329,407,29304,9618
155714,155715,11/15/2020,Altai Krai,Russia,2020/11/16 05:25,22683,432,20043,2208
155715,155716,11/15/2020,Altai Republic,Russia,2020/11/16 05:25,9527,20,7020,2487
155716,155717,11/15/2020,Amapa,Brazil,2020/11/16 05:25,54979,777,45521,8681
155717,155718,11/15/2020,Amazonas,Brazil,2020/11/16 05:25,169333,4697,144258,20378
155718,155719,11/15/2020,Amazonas,Colombia,2020/11/16 05:25,2999,121,2849,29
155719,155720,11/15/2020,Amazonas,Peru,2020/11/16 05:25,17429,236,0,17193
155720,155721,11/15/2020,Amur Oblast,Russia,2020/11/16 05:25,9039,71,6637,2331
155721,155722,11/15/2020,Ancash,Peru,2020/11/16 05:25,27691,1392,0,26299
155722,155723,11/15/2020,Andalusia,Spain,2020/11/16 05:25,189744,3155,10671,175918
155723,155724,11/15/2020,Andaman and Nicobar Islands,India,2020/11/16 05:25,4536,61,4330,145
155724,155725,11/15/2020,Andhra Pradesh,India,2020/11/16 05:25,854011,6868,828484,18659
155725,155726,11/15/2020,Anguilla,UK,2020/11/16 05:25,3,0,3,0
155726,155727,11/15/2020,Anhui,China,2020/11/16 05:25,992,6,985,1
155727,155728,11/15/2020,Antioquia,Colombia,2020/11/16 05:25,194398,3644,181026,9728
155728,155729,11/15/2020,Antofagasta,Chile,2020/11/16 05:25,21861,550,21065,246
155729,155730,11/15/2020,Antwerp,Belgium,2020/11/16 05:25,62216,0,0,62216
155730,155731,11/15/2020,Aomori,Japan,2020/11/16 05:25,278,6,235,37
155731,155732,11/15/2020,Apurimac,Peru,2020/11/16 05:25,6166,126,0,6040
155732,155733,11/15/2020,Aragon,Spain,2020/11/16 05:25,67697,1966,3772,61959
155733,155734,11/15/2020,Arauca,Colombia,2020/11/16 05:25,3791,108,3479,204
155734,155735,11/15/2020,Araucania,Chile,2020/11/16 05:25,15207,187,13977,1043
155735,155736,11/15/2020,Arequipa,Peru,2020/11/16 05:25,45472,1492,0,43980
155736,155737,11/15/2020,Arica y Parinacota,Chile,2020/11/16 05:25,10000,195,9605,200
155737,155738,11/15/2020,Arizona,US,2020/11/16 05:25,275436,6302,0,269134
155738,155739,11/15/2020,Arkansas,US,2020/11/16 05:25,133040,2183,0,130857
155739,155740,11/15/2020,Arkhangelsk Oblast,Russia,2020/11/16 05:25,25942,315,15113,10514
155740,155741,11/15/2020,Aruba,Netherlands,2020/11/16 05:25,4662,44,4534,84
155741,155742,11/15/2020,Arunachal Pradesh,India,2020/11/16 05:25,15812,48,14500,1264
155742,155743,11/15/2020,Assam,India,2020/11/16 05:25,210268,963,205639,3666
155743,155744,11/15/2020,Astrakhan Oblast,Russia,2020/11/16 05:25,11523,209,8304,3010
155744,155745,11/15/2020,Asturias,Spain,2020/11/16 05:25,17669,661,1063,15945
155745,155746,11/15/2020,Atacama,Chile,2020/11/16 05:25,7977,101,7825,51
155746,155747,11/15/2020,Atlantico,Colombia,2020/11/16 05:25,74627,3161,70419,1047
155747,155748,11/15/2020,Australian Capital Territory,Australia,2020/11/16 05:25,114,3,111,0
155748,155749,11/15/2020,Ayacucho,Peru,2020/11/16 05:25,13995,343,0,13652
155749,155750,11/15/2020,Aysen,Chile,2020/11/16 05:25,1163,8,1107,48
155750,155751,11/15/2020,Azad Jammu and Kashmir,Pakistan,2020/11/16 05:25,5455,121,4007,1327
155751,155752,11/15/2020,Baden-Wurttemberg,Germany,2020/11/16 05:25,116996,2265,73833,40898
155752,155753,11/15/2020,Bahia,Brazil,2020/11/16 05:25,374009,7943,356425,9641
155753,155754,11/15/2020,Baja California,Mexico,2020/11/16 05:25,24490,4085,0,20405
155754,155755,11/15/2020,Baja California Sur,Mexico,2020/11/16 05:25,13477,636,0,12841
155755,155756,11/15/2020,Baleares,Spain,2020/11/16 05:25,21449,389,1533,19527
155756,155757,11/15/2020,Balochistan,Pakistan,2020/11/16 05:25,16407,156,15852,399
155757,155758,11/15/2020,Bashkortostan Republic,Russia,2020/11/16 05:25,12328,67,11142,1119
155758,155759,11/15/2020,Basilicata,Italy,2020/11/16 05:25,4979,79,931,3969
155759,155760,11/15/2020,Bayern,Germany,2020/11/16 05:25,158849,3144,104056,51649
155760,155761,11/15/2020,Beijing,China,2020/11/16 05:25,947,9,932,6
155761,155762,11/15/2020,Belgorod Oblast,Russia,2020/11/16 05:25,13720,64,11966,1690
155762,155763,11/15/2020,Berlin,Germany,2020/11/16 05:25,47697,363,29700,17634
155763,155764,11/15/2020,Bermuda,UK,2020/11/16 05:25,222,9,189,24
155764,155765,11/15/2020,Bihar,India,2020/11/16 05:25,225901,1184,219263,5454
155765,155766,11/15/2020,Biobio,Chile,2020/11/16 05:25,32850,546,30669,1635
155766,155767,11/15/2020,Blekinge,Sweden,2020/11/16 05:25,1345,19,0,1326
155767,155768,11/15/2020,Bolivar,Colombia,2020/11/16 05:25,35025,875,33456,694
155768,155769,11/15/2020,"Bonaire, Sint Eustatius and Saba",Netherlands,2020/11/16 05:25,155,3,151,1
155769,155770,11/15/2020,Boyaca,Colombia,2020/11/16 05:25,18382,385,16388,1609
155770,155771,11/15/2020,Brandenburg,Germany,2020/11/16 05:25,13708,250,9541,3917
155771,155772,11/15/2020,Bremen,Germany,2020/11/16 05:25,8303,97,5561,2645
155772,155773,11/15/2020,British Columbia,Canada,2020/11/16 05:25,20986,290,15117,5579
155773,155774,11/15/2020,British Virgin Islands,UK,2020/11/16 05:25,71,1,70,0
155774,155775,11/15/2020,Brussels,Belgium,2020/11/16 05:25,72592,0,0,72592
155775,155776,11/15/2020,Bryansk Oblast,Russia,2020/11/16 05:25,15221,99,11270,3852
155776,155777,11/15/2020,Buryatia Republic,Russia,2020/11/16 05:25,14838,273,12626,1939
155777,155778,11/15/2020,C. Valenciana,Spain,2020/11/16 05:25,81854,2013,9970,69871
155778,155779,11/15/2020,Cajamarca,Peru,2020/11/16 05:25,23031,546,0,22485
155779,155780,11/15/2020,Calabria,Italy,2020/11/16 05:25,10093,174,2880,7039
155780,155781,11/15/2020,Caldas,Colombia,2020/11/16 05:25,20268,378,17297,2593
155781,155782,11/15/2020,California,US,2020/11/16 05:25,1032095,18262,0,1013833
155782,155783,11/15/2020,Callao,Peru,2020/11/16 05:25,39197,1874,0,37323
155783,155784,11/15/2020,Campania,Italy,2020/11/16 05:25,111187,1029,21901,88257
